old_url,old_path,classification,redirect_status,target,local_target_exists,chain
"https://oztimberfloor.com.au/products/topdeck-grey-iron-bark-190mm/","/products/topdeck-grey-iron-bark-190mm/","close topical match","301","/products/wooden-land-australian-species-190mm-grey-iron-bark-190mm/","true","/products/topdeck-grey-iron-bark-190mm/ > /products/wooden-land-australian-species-190mm-grey-iron-bark-190mm/"
"https://oztimberfloor.com.au/products/topdeck-jarrah-136mm/","/products/topdeck-jarrah-136mm/","close topical match","301","/products/wooden-land-australian-species-136mm-jarrah-136mm/","true","/products/topdeck-jarrah-136mm/ > /products/wooden-land-australian-species-136mm-jarrah-136mm/"
"https://oztimberfloor.com.au/products/topdeck-jarrah-190mm/","/products/topdeck-jarrah-190mm/","close topical match","301","/products/wooden-land-australian-species-190mm-jarrah-190mm/","true","/products/topdeck-jarrah-190mm/ > /products/wooden-land-australian-species-190mm-jarrah-190mm/"
"https://oztimberfloor.com.au/products/topdeck-lavanda-oak-amaretti-oak/","/products/topdeck-lavanda-oak-amaretti-oak/","close topical match","301","/products/lavanda-oak-amaretti-oak/","true","/products/topdeck-lavanda-oak-amaretti-oak/ > /products/lavanda-oak-amaretti-oak/"
"https://oztimberfloor.com.au/products/topdeck-lavanda-oak-boathouse/","/products/topdeck-lavanda-oak-boathouse/","close topical match","301","/products/lavanda-oak-boathouse/","true","/products/topdeck-lavanda-oak-boathouse/ > /products/lavanda-oak-boathouse/"
"https://oztimberfloor.com.au/products/topdeck-lavanda-oak-british-oak-natural/","/products/topdeck-lavanda-oak-british-oak-natural/","close topical match","301","/products/lavanda-oak-british-oak-natural/","true","/products/topdeck-lavanda-oak-british-oak-natural/ > /products/lavanda-oak-british-oak-natural/"
"https://oztimberfloor.com.au/products/topdeck-lavanda-oak-camden-oak/","/products/topdeck-lavanda-oak-camden-oak/","close topical match","301","/products/lavanda-oak-camden-oak/","true","/products/topdeck-lavanda-oak-camden-oak/ > /products/lavanda-oak-camden-oak/"
"https://oztimberfloor.com.au/products/topdeck-lavanda-oak-champagne/","/products/topdeck-lavanda-oak-champagne/","close topical match","301","/products/lavanda-oak-champagne/","true","/products/topdeck-lavanda-oak-champagne/ > /products/lavanda-oak-champagne/"
"https://oztimberfloor.com.au/products/topdeck-lavanda-oak-cromer-oak/","/products/topdeck-lavanda-oak-cromer-oak/","close topical match","301","/products/lavanda-oak-cromer-oak/","true","/products/topdeck-lavanda-oak-cromer-oak/ > /products/lavanda-oak-cromer-oak/"
"https://oztimberfloor.com.au/products/topdeck-lavanda-oak-limed-ash/","/products/topdeck-lavanda-oak-limed-ash/","close topical match","301","/products/lavanda-oak-limed-ash/","true","/products/topdeck-lavanda-oak-limed-ash/ > /products/lavanda-oak-limed-ash/"
